Tanggal,Produk,Jumlah_Unit_Terjual,Harga_Per_Unit,Total_Penjualan,Jenis_Promosi,Ketersediaan_Stok,Kampanye_Pemasaran,Inflasi,Suku_Bunga,Tingkat_Pengangguran,Suhu,Curah_Hujan,Aktivitas_Kompetitor
2019-04-13,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-14,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-15,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-16,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-17,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-04-18,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-19,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-20,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-21,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-22,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-04-23,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-24,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-25,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-04-26,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-04-27,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-04-28,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-04-29,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-04-30,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-01,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-02,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-03,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-04,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-05,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-06,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-07,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-08,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-09,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-10,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-11,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-12,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-13,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-14,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-15,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-16,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-17,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-18,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-19,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-20,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-21,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-22,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-23,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-24,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-25,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-26,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-05-27,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-05-28,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-05-29,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-05-30,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-05-31,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-06-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-06-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-06-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-06-29,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-06-30,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-07-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-07-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-07-29,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-07-30,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-07-31,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-01,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-02,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-03,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-04,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-05,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-06,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-07,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-08,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-09,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-10,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-11,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-12,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-13,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-14,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-15,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-16,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-17,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-18,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-19,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-20,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-21,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-22,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-23,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-24,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-25,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-26,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-08-27,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-08-28,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-08-29,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-08-30,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-08-31,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-01,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-02,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-03,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-04,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-09-05,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-06,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-07,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-08,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-09,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-09-10,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-11,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-12,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-13,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-14,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-09-15,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-16,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-17,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-18,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-19,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
